URL,Probability,Produkt,Watt,Spannung,Preis,MwSt,Bestellnummer,Artikelnummer,Technische Daten,Zubehör
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-premium/cg-15-125-bl-72226760000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-universal/cg-17-125-72228160000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/fraesen/kantenfraesen/kfh-17-8-r-72381661000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/schleifen-polieren/geradschleifer/gsz-11-90-perl-72232360000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/schleifen-polieren/geradschleifer/?tx_mqproductscustom_pdf%5Bpro%5D=13953&type=1646&cHash=1275ba8facaa0213f5927d6e63aaa52e,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-premium/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjIzODA5MDtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyMjI3OTYwMDAwIjtzOjg6InByb1RpdGxlIjtzOjk6IkNHIDEwLTEyNSI7czoxMToicHJvSGVhZGxpbmUiO3M6MzM6IkNvbXBhY3QtV2lua2Vsc2NobGVpZmVyIMOYIDEyNSBtbSI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=85636d6a1c89250e1495f23877c89ad0,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-premium/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjIzODA5MDtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyMjI3OTYwMDAwIjtzOjg6InByb1RpdGxlIjtzOjk6IkNHIDEwLTEyNSI7czoxMToicHJvSGVhZGxpbmUiO3M6MzM6IkNvbXBhY3QtV2lua2Vsc2NobGVpZmVyIMOYIDEyNSBtbSI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=85636d6a1c89250e1495f23877c89ad0,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/fein-versamag-system/fein-versamag-system/fein-versamag-32172050020/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/fein-versamag-system/fein-versamag-system/fein-versamag-schraubstock-set-90701003020/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/fein-versamag-system/fein-versamag-system/?tx_mqproductscustom_pdf%5Bpro%5D=242246&type=1646&cHash=f21ac82100ceca86fb965d1b5fc74ddf,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/#hotspotMenu-3,0.6666666666666666,X,X,X,X,X,,,,X
https://fein.com/de_de/maschinen/fein-versamag-system/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI1MzQxODtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjkwNzAxMDA3MDAwIjtzOjg6InByb1RpdGxlIjtzOjMyOiJGRUlOIFZlcnNhTUFHIEtlcm5ib2hyZXIgU2V0IE1LMyI7czoxMToicHJvSGVhZGxpbmUiO3M6MzY6Ik1hZ25ldHNjaHJhdWJzdG9jayBpbmtsLiBLZXJuYm9ocnNldCI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=f9817d3ab66d623aa2133fb9cc95efc3,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/fein-versamag-system/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI1MzQxODtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjkwNzAxMDA3MDAwIjtzOjg6InByb1RpdGxlIjtzOjMyOiJGRUlOIFZlcnNhTUFHIEtlcm5ib2hyZXIgU2V0IE1LMyI7czoxMToicHJvSGVhZGxpbmUiO3M6MzY6Ik1hZ25ldHNjaHJhdWJzdG9jayBpbmtsLiBLZXJuYm9ocnNldCI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=f9817d3ab66d623aa2133fb9cc95efc3,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/fein-versamag-system/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI2MzgxNDtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiI5MDcwMTAxMDAxMCI7czo4OiJwcm9UaXRsZSI7czo4MjoiU2NodXR6YmFja2VucGFhciBTZXQgKFApIFByaXNtYSB1bmQgKEIpIEJsYW5rIDExMCBtbSBBbHVtaW5pdW0gKEZFSU4gVmVyc2FNQUcpwqDCoCI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=16d96fccbf3d7efc2ec282d08904eebc,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/fein-versamag-system/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI2MzgxNDtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiI5MDcwMTAxMDAxMCI7czo4OiJwcm9UaXRsZSI7czo4MjoiU2NodXR6YmFja2VucGFhciBTZXQgKFApIFByaXNtYSB1bmQgKEIpIEJsYW5rIDExMCBtbSBBbHVtaW5pdW0gKEZFSU4gVmVyc2FNQUcpwqDCoCI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=16d96fccbf3d7efc2ec282d08904eebc,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/#hotspotMenu-4,0.6666666666666666,X,X,X,X,X,,,,X
https://fein.com/de_de/maschinen/fein-versamag-system/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI2MjU1NDtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiI5MDcwMTAwODAyMCI7czo4OiJwcm9UaXRsZSI7czo1NToiVW5pdmVyc2FscGxhdHRlIEx4QnhUIDIwMCB4IDE2MCB4IDM3IG1tIChGRUlOIFZlcnNhTUFHKSI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=213b163d3f1daace141e7b1429ec1b2b,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/fein-versamag-system/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI2MjU1NDtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiI5MDcwMTAwODAyMCI7czo4OiJwcm9UaXRsZSI7czo1NToiVW5pdmVyc2FscGxhdHRlIEx4QnhUIDIwMCB4IDE2MCB4IDM3IG1tIChGRUlOIFZlcnNhTUFHKSI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=213b163d3f1daace141e7b1429ec1b2b,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/bohren-schrauben/gewindebohrer/,0.4444444444444444,X,,,X,X,,,,X
https://fein.com/de_de/maschinen/bohren-schrauben/,0.4444444444444444,X,,,X,X,,,,X
https://fein.com/de_de/maschinen/bohren-schrauben/akku-schlagschrauber/ascd-18-1000-w34-as-71151261000/,0.7777777777777778,X,,X,X,X,X,,X,X
https://fein.com/de_de/maschinen/bohren-schrauben/akku-schlagschrauber/?tx_mqproductscustom_pdf%5Bpro%5D=259605&type=1646&cHash=d8807fd96e98db841fe860209da77418,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/bohren-schrauben/akku-bohrschrauber/ascm-18-4-qmp-as-71161661000/,0.7777777777777778,X,,X,X,X,X,,X,X
https://fein.com/de_de/maschinen/bohren-schrauben/akku-bohrschrauber/?tx_mqproductscustom_pdf%5Bpro%5D=259598&type=1646&cHash=4154415f0dd6a8aa3f50294192c8dd96,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/compact/,0.4444444444444444,X,,,X,X,,,,X
https://fein.com/de_de/maschinen/kernbohren-metall/,0.4444444444444444,X,,,X,X,,,,X
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NjcxMTtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiIzMzkwMTY4MDQyMCI7czo4OiJwcm9UaXRsZSI7czo0ODoiU3RydWN0dXJhbCBTdGVlbC1TZXQgMy80IGluIFdlbGRvbiAvIEhTUyBOT1ZBIDI1Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=e8154cd49589b7f2ffbc71464f5a096e,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NjcxMTtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiIzMzkwMTY4MDQyMCI7czo4OiJwcm9UaXRsZSI7czo0ODoiU3RydWN0dXJhbCBTdGVlbC1TZXQgMy80IGluIFdlbGRvbiAvIEhTUyBOT1ZBIDI1Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=e8154cd49589b7f2ffbc71464f5a096e,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NTM5ODtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyNzA1NDY0MDAwIjtzOjg6InByb1RpdGxlIjtzOjUwOiJLQlUgMzUgUVcgRmFicmljYXRvciBNMTIgVGFwcGluZy1TZXQgMy80IGluIFdlbGRvbiI7czoxMToicHJvSGVhZGxpbmUiO3M6NTk6IlVuaXZlcnNhbC1NYWduZXQtS2VybmJvaHJtYXNjaGluZSBiaXMgMzUgbW0gbWl0IEFud2VuZGVyc2V0Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=e2dd9ce86f68a18a185f01eeef5a1f62,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NTM5ODtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyNzA1NDY0MDAwIjtzOjg6InByb1RpdGxlIjtzOjUwOiJLQlUgMzUgUVcgRmFicmljYXRvciBNMTIgVGFwcGluZy1TZXQgMy80IGluIFdlbGRvbiI7czoxMToicHJvSGVhZGxpbmUiO3M6NTk6IlVuaXZlcnNhbC1NYWduZXQtS2VybmJvaHJtYXNjaGluZSBiaXMgMzUgbW0gbWl0IEFud2VuZGVyc2V0Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=e2dd9ce86f68a18a185f01eeef5a1f62,0.0,,,,,,,,,
